hhid,child_sex,child_age,home_language,stories_songs,read,confident,how_well_demands,primary_cg_ed,ACE,state
17158205,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,Doctorate,Exp 1 ACE,Louisiana
17158269,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,Bachelor’s Degree,Exp 1 ACE,North Dakota
17158349,Female,5,English,Every day,Every day,Completely confident,Very well,Doctorate,1,Kentucky
17158412,Female,5,English,1-3 days,Every day,Completely confident,Somewhat well,Master’s Degree,1,Virginia
17158643,Male,5,English,4-6 days,4-6 days,Completely confident,Very well,"Some College Credit, no Degree",1,New Hampshire
17159503,Female,5,English,Every day,Every day,Completely confident,Very well,"Some College Credit, no Degree",1,Nevada
17159615,Female,5,English,1-3 days,Every day,Completely confident,Somewhat well,Master’s Degree,1,Idaho
17159762,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,"Vocational, trade, or business school program",Exp 2 ACE,District of Columbia
17159837,Female,5,English,Every day,Every day,Completely confident,Very well,Doctorate,1,District of Columbia
17160159,Female,5,English,4-6 days,Every day,Completely confident,Very well,"Some College Credit, no Degree",1,Illinois
17160198,Female,5,English,4-6 days,Every day,Completely confident,Very well,Bachelor’s Degree,1,Tennessee
17160546,Female,5,English,4-6 days,4-6 days,Somewhat confident,Very well,Master’s Degree,Exp 2 ACE,Oklahoma
17160788,Female,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,High School Graduate or GED,Exp 1 ACE,Georgia
17160809,Female,5,English,Every day,Every day,Completely confident,Somewhat well,"Vocational, trade, or business school program",1,Nebraska
17160881,Female,5,English,1-3 days,4-6 days,Completely confident,Very well,Bachelor’s Degree,Exp 2 ACE,New York
17161140,Male,5,English,4-6 days,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,Kansas
17161619,Male,5,English,Every day,1-3 days,Completely confident,Very well,"Some College Credit, no Degree",1,Idaho
17161653,Female,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,Michigan
17161970,Female,5,English,1-3 days,1-3 days,Mostly confident,Somewhat well,Bachelor’s Degree,Exp 2 ACE,Oregon
17162041,Female,5,English,Every day,Every day,Completely confident,Somewhat well,Associate Degree,Exp 2 ACE,Montana
17162336,Female,5,English,Every day,Every day,Completely confident,Very well,"Vocational, trade, or business school program",1,Idaho
17162341,Female,5,English,Every day,Every day,Completely confident,Very well,Master’s Degree,1,Minnesota
17162443,Male,5,English,1-3 days,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,Mississippi
17162620,Female,5,English,Every day,4-6 days,Completely confident,Somewhat well,"Some College Credit, no Degree",Exp 2 ACE,Arkansas
17162735,Female,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,West Virginia
17162984,Female,5,English,Every day,Every day,Completely confident,Somewhat well,Master’s Degree,1,Louisiana
17163054,Male,5,English,Every day,Every day,Completely confident,Very well,Master’s Degree,1,Maine
17163094,Female,5,English,1-3 days,4-6 days,Completely confident,Somewhat well,Bachelor’s Degree,1,Colorado
17163253,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,Bachelor’s Degree,Exp 1 ACE,Montana
17163866,Female,5,English,Every day,Every day,Completely confident,Very well,Master’s Degree,1,New Hampshire
17163961,Female,5,English,Every day,Every day,Completely confident,Very well,Master’s Degree,Exp 1 ACE,Massachusetts
17164269,Male,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,Minnesota
17165070,Female,5,Other,1-3 days,4-6 days,Completely confident,Very well,Doctorate,1,Connecticut
17165214,Male,5,English,Every day,4-6 days,Completely confident,Somewhat well,Master’s Degree,1,District of Columbia
17165216,Female,5,English,Every day,Every day,Completely confident,Very well,Doctorate,1,District of Columbia
17165219,Female,5,Other,4-6 days,4-6 days,Completely confident,Very well,Master’s Degree,1,District of Columbia
17165645,Male,5,English,1-3 days,0 days,Mostly confident,Somewhat well,"Some College Credit, no Degree",1,Arkansas
17166101,Female,5,English,Every day,Every day,Completely confident,Very well,Master’s Degree,1,South Dakota
17166140,Female,5,English,Every day,Every day,Completely confident,Very well,"Some College Credit, no Degree",Exp 2 ACE,Alabama
17166213,Female,5,English,4-6 days,1-3 days,Mostly confident,Very well,"Vocational, trade, or business school program",Exp 2 ACE,Montana
17166858,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,Bachelor’s Degree,1,Iowa
